container_length_m,container_width_m,container_height_m,container_volume_m3,total_boxes,small_box_count,large_box_count,total_box_volume_m3,irregular_parts_count,pallet_pattern,packing_orientation,weight_limit_kg,total_weight_kg,cube_utilisation_pct
5.9,2.35,2.39,33.137350000000005,246,235,11,12.984070145319473,0,brick,LWH,28000,3895.221043595842,40.18
5.9,2.35,2.39,33.137350000000005,324,281,43,23.327037532500004,11,pinwheel,LWH,28000,6998.111259750001,70.71
12.0,2.35,2.39,67.39800000000001,81,49,32,17.66035340550615,0,brick,LWH,29000,5298.106021651845,28.06
5.9,2.35,2.39,33.137350000000005,239,191,48,18.542004192500002,19,brick,WHL,28000,5562.6012577500005,56.08
5.9,2.35,2.39,33.137350000000005,141,118,23,10.699586405427452,2,stacked,WHL,28000,3209.8759216282356,33.76
12.0,2.35,2.39,67.39800000000001,225,179,46,36.6162368756365,0,pinwheel,LWH,29000,10984.87106269095,53.42
5.9,2.35,2.39,33.137350000000005,123,105,18,15.13288341866904,0,stacked,WHL,28000,4539.865025600712,46.0
5.9,2.35,2.39,33.137350000000005,340,294,46,29.906458375000003,0,pinwheel,WHL,28000,8971.9375125,90.07
12.0,2.35,2.39,67.39800000000001,78,68,10,9.197388077411706,0,brick,WHL,29000,2759.216423223512,13.5
5.9,2.35,2.39,33.137350000000005,189,140,49,21.125060625000003,0,mixed,mixed,28000,6337.518187500001,65.48
12.0,2.35,2.39,67.39800000000001,152,131,21,16.929814442323647,0,pinwheel,LWH,29000,5078.944332697094,25.65
12.0,2.35,2.39,67.39800000000001,105,66,39,24.496501570142538,20,brick,LWH,29000,7348.950471042762,35.69
5.9,2.35,2.39,33.137350000000005,123,92,31,15.258325864441106,0,stacked,mixed,28000,4577.497759332332,44.71
12.0,2.35,2.39,67.39800000000001,155,111,44,37.712550900000004,19,pinwheel,LWH,29000,11313.765270000002,55.1
5.9,2.35,2.39,33.137350000000005,302,271,31,22.147598239812144,0,pinwheel,mixed,28000,6644.279471943643,67.31
5.9,2.35,2.39,33.137350000000005,298,287,11,24.087837244940253,0,stacked,LWH,28000,7226.351173482076,72.97
5.9,2.35,2.39,33.137350000000005,146,130,16,19.0604536824149,1,mixed,LWH,28000,5718.13610472447,58.67
5.9,2.35,2.39,33.137350000000005,288,265,23,21.88386276721442,0,mixed,WHL,28000,6565.158830164326,66.57
5.9,2.35,2.39,33.137350000000005,284,250,34,29.906458375000003,0,brick,LWH,28000,8971.9375125,91.83
12.0,2.35,2.39,67.39800000000001,107,66,41,32.66905597349543,11,mixed,mixed,29000,9800.71679204863,48.1
12.0,2.35,2.39,67.39800000000001,174,168,6,10.419058555871114,13,brick,mixed,29000,3125.717566761334,17.48
12.0,2.35,2.39,67.39800000000001,158,150,8,15.965713981016204,0,mixed,WHL,29000,4789.714194304861,25.5
5.9,2.35,2.39,33.137350000000005,262,243,19,23.012232707500004,7,brick,mixed,28000,6903.669812250001,69.78
5.9,2.35,2.39,33.137350000000005,269,226,43,29.906458375000003,0,brick,LWH,28000,8971.9375125,92.13
5.9,2.35,2.39,33.137350000000005,333,284,49,27.81942926657269,0,brick,WHL,28000,8345.828779971807,82.48
5.9,2.35,2.39,33.137350000000005,223,173,50,23.012232707500004,7,stacked,LWH,28000,6903.669812250001,69.72
5.9,2.35,2.39,33.137350000000005,314,288,26,18.220208647884583,0,mixed,LWH,28000,5466.062594365375,55.05
5.9,2.35,2.39,33.137350000000005,231,191,40,26.758410125000005,0,stacked,WHL,28000,8027.523037500001,82.18
5.9,2.35,2.39,33.137350000000005,287,255,32,29.906458375000003,0,pinwheel,LWH,28000,8971.9375125,89.62
12.0,2.35,2.39,67.39800000000001,216,173,43,38.96277034444292,1,stacked,LWH,29000,11688.831103332877,58.15
5.9,2.35,2.39,33.137350000000005,231,197,34,22.093839024374503,0,mixed,WHL,28000,6628.151707312351,68.49
5.9,2.35,2.39,33.137350000000005,134,98,36,24.067622301345924,0,brick,LWH,28000,7220.286690403777,72.16
12.0,2.35,2.39,67.39800000000001,260,222,38,30.50232468244746,0,stacked,WHL,29000,9150.697404734237,45.74
12.0,2.35,2.39,67.39800000000001,87,81,6,5.008020494889266,0,brick,LWH,29000,1502.4061484667798,7.11
5.9,2.35,2.39,33.137350000000005,93,77,16,9.95856371016232,0,mixed,mixed,28000,2987.569113048696,31.42
